Volgnummer,Laagnaam
381,k(hf)
382,k(hf+)
383,k(hfb-)
384,k(hfb)
385,k(hfc-)
386,k(hfc)
387,k(hfl-)
388,k(hfl)
389,k(hft-)
390,k(hft)
391,k(hj)
392,k(hjb)
393,k(hk-)
394,k(hk)
395,k(hm-)
396,k(hm)
397,k(hm+)
398,k(hmo-)
399,k(hmo)
400,k(hn-)
401,k(hn)
402,k(hn+)
403,k(hp)
404,k(hp+)
405,k(hr-)
406,k(hr)
407,k(hr+)
408,k(hrb-)
409,k(hrb)
410,k(hu-)
411,k(hu)
412,k(hu+)
413,k(ku-)
414,k(ku)
415,k(ku+)
416,k(kub)
417,k(kub+)
418,k(mc-)
419,k(mc)
420,k(mc+)
421,k(mcb-)
422,k(mcb)
423,k(mj)
424,k(mr-)
425,k(mr)
426,k(mr+)
427,k(mrb-)
428,k(mrb)
429,k(mru)
430,k(ms-)
431,k(ms)
432,k(mz-)
433,k(mz)
434,k(mz+)
435,ka
436,kb
437,kb-
438,kb+
439,kba
440,kba-
441,kba+
442,kbac
443,kbac-
444,kbac+
445,kbae
446,kbae-
447,kbae+
448,kbb
449,kbb-
450,kbb+
451,kbc
452,kbc-
453,kbc+
454,kbca
455,kbca-
456,kbca+
457,kbco
458,kbco-
459,kbco+
460,kbcr
461,kbcr-
462,kbcr+
463,kbf
464,kbf-
465,kbf+
466,kbfr
467,kbfr-
468,kbfr+
469,kbgml
470,kbgml-
471,kbgml+
472,kbgmn
473,kbgmn-
474,kbgmn+
475,kbj
476,kbj-
477,kbj+
478,kblar
479,kblar-
480,kbp
481,kbp-
482,kbp+
483,kbpica
484,kbpica-
485,kbpinn
486,kbpinn-
487,kbpinn+
488,kbpins
489,kbpins-
490,kbpins+
491,kbpl
492,kbpl-
493,kbpl+
494,kbpr
495,kbpr-
496,kbprua
497,kbprua-
498,kbprua+
499,kbpse
500,kbpse-
501,kbpt
502,kbpt-
503,kbpt+
504,kbq
505,kbq-
506,kbq+
507,kbqr
508,kbqr-
509,kbqr+
510,kbr
511,kbr-
512,kbr+
513,kbs
514,kbs-
515,kbs+
516,kbt
517,kbt-
518,kbt+
519,kbu
520,kbu-
521,kbu+
522,kc
523,kd
524,kd-
525,kf
526,kf-
527,kg
528,kh
529,kh-
530,kh(fa-)
531,kh(fa)
532,kh(fe)
533,kh(fl)
534,kh(fm-)
535,kh(fm)
536,kh(fs-)
537,kh(fs)
538,kh(qa-)
539,kh(qa)
540,kh(qb-)
541,kh(qb)
542,kh(qb+)
543,kh(qe-)
544,kh(qe)
545,kh(qe+)
546,kh(ql-)
547,kh(ql)
548,kh(qs-)
549,kh(qs)
550,kh(qs+)
551,kh(sf-)
552,kh(sf)
553,kh(sg-)
554,kh(sg)
555,kh(sg+)
556,kh(sk-)
557,kh(sk)
558,kh(sm-)
559,kh(sm)
560,kh(so-)
561,kh(so)
562,kh(sp-)
563,kh(sp)
564,kh(sp+)
565,kh(spr-)
566,kh(spr)
567,kh(sprb)
568,kh(sz-)
569,kh(sz)
570,kh(va-)
571,kh(va)
572,kh(vc-)
573,kh(vc)
574,kh(vm-)
575,kh(vm)
576,kh(vm+)
577,kh(vn-)
578,kh(vn)
579,kh(vo-)
580,kh(vo)
581,kh+
582,kha
583,kha-
584,kha+
585,khac
586,khac-
587,khac+
588,khb
589,khb-
590,khb+
591,khc
592,khc-
593,khca
594,khca-
595,khca+
596,khco
597,khco-
598,khco+
599,khcr
600,khcr-
601,khcr+
602,khf
603,khf-
604,khf+
605,khfr
606,khfr-
607,khfr+
608,khfran
609,khfran-
610,khgml
611,khgml-
612,khgml+
613,khgmn
614,khgmn-
615,khlig-
616,khp
617,khp-
618,khp+
619,khpins
620,khpins-
621,khpr
622,khpr-
623,khpr+
624,khprua
625,khprua-
626,khpt
627,khpt-
628,khq
629,khq-
630,khq+
631,khqr
632,khqr-
633,khqr+
634,khr
635,khr-
636,khr+
637,khs
638,khs-
639,khs+
640,khsa
641,khsa-
642,khu
643,khu-
644,khu+
645,khw
646,khw-
647,khw+
648,khwa
649,khwa-
650,khwa+
651,khwb
652,khwb-
653,khwca
654,khwca+
655,khwco
656,khwco-
657,khwf
658,khwf-
659,khwfr
660,khwgml
661,khwp
662,khwp+
663,khwpt
664,khwq
665,khwq-
666,khwq+
667,khwqr
668,khwqr-
669,khwr
670,khws
671,khwu
672,ki
673,kj
674,kj-
675,kj+
676,kk
677,kl
678,km
679,km-
680,km+
681,kn
682,kn-
683,kn+
684,ko
685,kp
686,kp-
687,kp+
688,kpa
689,kpk
690,kpk-
691,kpk+
692,kq
693,kr
694,ks
695,kt
696,kt-
697,kt(cg-)
698,kt(cg)
699,kt(cgb-)
700,kt(cgb)
701,kt(cp)
702,kt(cpb)
703,kt(ha-)
704,kt(ha)
705,kt(ha+)
706,kt(hab-)
707,kt(hab)
708,kt(hab+)
709,kt(hf-)
710,kt(hf)
711,kt(hk-)
712,kt(hk)
713,kt(hn-)
714,kt(hn)
715,kt(hp+)
716,kt(hr-)
717,kt(hr)
718,kt(hr+)
719,kt(hrb)
720,kt(hu-)
721,kt(hu)
722,kt(hu+)
723,kt(ku-)
724,kt(ku)
725,kt(ku+)
726,kt(kub-)
727,kt(kub)
728,kt(kub+)
729,kt(qa-)
730,kt(qa)
731,kt(qa+)
732,kt(qb-)
733,kt(qb)
734,kt(qe-)
735,kt(qe)
736,kt(qs-)
737,kt(qs)
738,kt(ru-)
739,kt(ru)
740,kt(sg-)
741,kt(sg)
742,kt(sg+)
743,kt(sgb-)
744,kt(sgb)
745,kt(sgb+)
746,kt(sgu-)
747,kt(sgu)
748,kt(sp-)
749,kt(sp)
750,kt(sp+)
751,kt(spr)
752,kt(sprb)
753,kt(sz-)
754,kt(sz)
755,kt(sz+)
756,kt+
757,ku
758,ku-
759,ku+
760,kub
761,kub-
762,kub+
763,kw
764,kw-
765,kw+
766,kz
767,lar
768,lh
769,lh+
770,lhb
771,lhb+
772,lhi
773,lhi+
774,lig
775,ls
776,ls+
777,lsb
778,lsb+
779,lsh
780,lsi
781,lsi+
782,m
783,mc
784,mc-
785,mc+
786,mcb
787,mcb-
788,mcb+
789,md
790,md-
791,mj
792,mjb
793,mk
794,mk-
795,mk+
796,mm
797,mm-
798,mmb
799,mp
800,mp-
801,mp+
802,mr
803,mr-
804,mr+
805,mrb
806,mrb-
807,mrb+
808,mru
809,ms
810,ms-
811,ms+
812,msb
813,msb-
814,myr
815,mz
816,mz+
817,n
818,n-
819,na
820,ng
821,ni
822,p
823,pa
824,pi
825,pica
826,pics
827,pinm
828,pinn
829,pins
830,pint
831,plat
832,pm
833,pmb
834,pmc
835,pmh
836,pmp
837,pms
838,pop
839,potr
840,pp
841,ppa
842,ppi
843,ppm
844,ppmb
845,ppmb+
846,ppmc
847,ppmh
848,ppmh+
849,ppmp
850,ppmp+
851,ppms
852,prua
853,prus
854,pse
855,q
856,qa
857,qa-
858,qa+
859,qb
860,qb-
861,qb+
862,qe
863,qe-
864,qe+
865,qk
866,qk-
867,ql
868,ql-
869,qs
870,qs-
871,qs+
872,que
873,quep
874,quer
875,rbbah
876,rbbha
877,rbbhc
878,"rbbhc,bos"
879,rbbhf
880,"rbbhf,bos"
881,rbbkam
882,rbbkam+
883,rbbmc
884,"rbbmc,bos"
885,rbbmr
886,"rbbmr,bos"
887,"rbbmr,gh"
888,rbbms
889,"rbbms,bos"
890,rbbppm
891,rbbsf
892,"rbbsf,bos"
893,rbbsg
894,rbbsm
895,rbbso
896,rbbsp
897,"rbbsp,bos"
898,rbbvos
899,rbbzil
900,rbbzil+
901,rhod
902,rob
903,ru
904,ru-
905,ru+
906,rud
907,rud-
908,s
909,sal
910,sam
911,sd
912,sd-
913,sdb
914,sdb-
915,se
916,sf
917,sf-
918,sf+
919,sg
920,sg-
921,sg+
922,sgb
923,sgb-
924,sgb+
925,sgu
926,sgu-
927,sgu+
928,sk
929,sk-
930,sm
931,sm-
932,smb
933,smb-
934,so
935,so-
936,so+
937,sob
938,sorb
939,sp
940,sp-
941,sp+
942,spoor
943,spr
944,spr-
945,sprb
946,sz
947,sz-
948,sz+
949,t
950,tax
951,til
952,tsu
953,u
954,ua
955,uc
956,ud
957,ui
958,ulm
959,un
960,ur
961,uv
962,uv-
963,v
964,va
965,va-
966,va+
967,vc
968,vc-
969,vc+
970,vm
971,vm-
972,vm+
973,vn
974,vn-
975,vn+
976,vo
977,vo-
978,vo+
979,vr
980,wat
981,weg
982,x
983,zee
